"","variable","expected_gain","EVPI_do","EVPI_dont"
"costs_reduced_no_re_fertilizer_i1234","costs_reduced_no_re_fertilizer_i1234",1511798.10858504,0,1511798.10858504
"rate_fer_pla_inno_i1","rate_fer_pla_inno_i1",1519491.68977809,0,1519491.68977809
"rate_fer_pla_immi_i1","rate_fer_pla_immi_i1",1517698.39520535,0,1517698.39520535
"rate_fer_pla_inno_i2","rate_fer_pla_inno_i2",1516298.34578035,0,1516298.34578035
"rate_fer_pla_immi_i2","rate_fer_pla_immi_i2",1514913.99184882,0,1514913.99184882
"rate_fer_pla_inno_i3","rate_fer_pla_inno_i3",1512873.90696735,1060.05384145041,1513933.9608088
"rate_fer_pla_immi_i3","rate_fer_pla_immi_i3",1514356.37422794,0,1514356.37422794
"rate_fer_pla_inno_i4","rate_fer_pla_inno_i4",1513821.32571546,0,1513821.32571546
"rate_fer_pla_immi_i4","rate_fer_pla_immi_i4",1515645.57300411,0,1515645.57300411
"reduced_times_spray_i1234","reduced_times_spray_i1234",1516214.77021296,0,1516214.77021296
"reduced_cost_per_time_spray_i1234","reduced_cost_per_time_spray_i1234",1513029.42525007,0,1513029.42525007
"total_buffalo_i1234","total_buffalo_i1234",1515227.38303139,0,1515227.38303139
"price_buffalo_i1234","price_buffalo_i1234",1513579.25803577,0,1513579.25803577
"chance_extreme_cold","chance_extreme_cold",1514196.90714904,0,1514196.90714904
"reduced_death_animal_i1","reduced_death_animal_i1",1516267.14464879,0,1516267.14464879
"reduced_death_animal_i2","reduced_death_animal_i2",1500720.48217805,0,1500720.48217805
"reduced_death_animal_i3","reduced_death_animal_i3",1510584.67799896,0,1510584.67799896
"reduced_death_animal_i4","reduced_death_animal_i4",1504723.21208164,0,1504723.21208164
"rate_ani_inno_i1","rate_ani_inno_i1",1515744.98488734,0,1515744.98488734
"rate_ani_immi_i1","rate_ani_immi_i1",1516781.91821459,0,1516781.91821459
"rate_ani_inno_i2","rate_ani_inno_i2",1513768.20341196,0,1513768.20341196
"rate_ani_immi_i2","rate_ani_immi_i2",1515060.72794695,0,1515060.72794695
"rate_ani_inno_i3","rate_ani_inno_i3",1511724.94743552,0,1511724.94743552
"rate_ani_immi_i3","rate_ani_immi_i3",1513351.30946823,0,1513351.30946823
"rate_ani_inno_i4","rate_ani_inno_i4",1513870.89993066,0,1513870.89993066
"rate_ani_immi_i4","rate_ani_immi_i4",1515709.79379944,0,1515709.79379944
"total_cow_i1234","total_cow_i1234",1515152.38943815,0,1515152.38943815
"price_cow_i1234","price_cow_i1234",1516108.84707309,0,1516108.84707309
"area_pond_impacted_i1234","area_pond_impacted_i1234",1513032.69752898,0,1513032.69752898
"lost_fish_i1234","lost_fish_i1234",1513268.528585,0,1513268.528585
"reduced_water_expenditure_i1234","reduced_water_expenditure_i1234",1305914.73249985,0,1305914.73249985
"percent_pollution_reduction_i1234","percent_pollution_reduction_i1234",1303672.54931303,0,1303672.54931303
"N_total_oversuse_per_ha_i1234","N_total_oversuse_per_ha_i1234",1512982.00711261,0,1512982.00711261
"new_income_farm_peryear_i12","new_income_farm_peryear_i12",1515866.01338066,0,1515866.01338066
"rate_farm","rate_farm",1514409.83669294,0,1514409.83669294
"new_income_nonfarm_peryear_i12","new_income_nonfarm_peryear_i12",1514374.88900886,7.65796524937114,1514382.54697411
"rate_nonfarm","rate_nonfarm",1515746.015135,0,1515746.015135
"gender_coverage","gender_coverage",1517058.02044146,0,1517058.02044146
"reduced_expenditure_health_i1234","reduced_expenditure_health_i1234",1471083.01594545,0,1471083.01594545
"number_staff_i1234","number_staff_i1234",1515726.62894034,0,1515726.62894034
"income_increased_staff_i1234","income_increased_staff_i1234",1516290.40284682,0,1516290.40284682
"year_staff_i1234","year_staff_i1234",NA,0,0
