"","variable","expected_gain","EVPI_do","EVPI_dont"
"rate_seed_inno_i1","rate_seed_inno_i1",5388352.97423409,0,5388352.97423409
"rate_seed_imitation_i1","rate_seed_imitation_i1",5386974.46423266,0,5386974.46423266
"rate_seed_inno_i2","rate_seed_inno_i2",5390778.99474336,0,5390778.99474336
"rate_seed_imitation_i2","rate_seed_imitation_i2",5387439.51971334,0,5387439.51971334
"rate_seed_inno_i3","rate_seed_inno_i3",5394047.96665612,0,5394047.96665612
"rate_seed_imitation_i3","rate_seed_imitation_i3",5388779.30228709,0,5388779.30228709
"rate_seed_inno_i4","rate_seed_inno_i4",5391094.21212028,0,5391094.21212028
"rate_seed_imitation_i4","rate_seed_imitation_i4",5392919.84666078,0,5392919.84666078
"rate_saturated_i12","rate_saturated_i12",5390493.19247299,0,5390493.19247299
"rate_saturated_i34","rate_saturated_i34",5390733.3219107,0,5390733.3219107
"dis_adoption_i123","dis_adoption_i123",5244780.74585416,0,5244780.74585416
"dis_adoption_i4","dis_adoption_i4",5307289.32794601,0,5307289.32794601
"effective_rate","effective_rate",5386789.6535776,0,5386789.6535776
"NPK5105f_dose_i1234","NPK5105f_dose_i1234",NA,0,0
"NPK5105a_dose_i1234","NPK5105a_dose_i1234",NA,0,0
"NPK5105_price_i1234","NPK5105_price_i1234",5387245.11810185,0,5387245.11810185
"NPK12510f_dose_i1234","NPK12510f_dose_i1234",NA,0,0
"NPK12510a_dose_i1234","NPK12510a_dose_i1234",NA,0,0
"NPK12510_price_i1234","NPK12510_price_i1234",5392653.77062921,0,5392653.77062921
"Nf_dose_i1234","Nf_dose_i1234",5387637.22116378,0,5387637.22116378
"Na_dose_i1234","Na_dose_i1234",5390353.26606755,0,5390353.26606755
"N_price_i1234","N_price_i1234",5387284.24496102,0,5387284.24496102
"Kf_dose_i1234","Kf_dose_i1234",5385814.48797118,0,5385814.48797118
"Ka_dose_i1234","Ka_dose_i1234",5389853.03614988,0,5389853.03614988
"K_price_i1234","K_price_i1234",5387240.96183091,0,5387240.96183091
"chance_refertilize_reduced_i1234","chance_refertilize_reduced_i1234",5389588.62384801,0,5389588.62384801
"refertilize_area_percentage_i1234","refertilize_area_percentage_i1234",5390053.16668795,0,5390053.16668795
"costs_reduced_no_re_fertilizer_i1234","costs_reduced_no_re_fertilizer_i1234",5389194.73007919,0,5389194.73007919
"rate_fer_pla_inno_i1","rate_fer_pla_inno_i1",5390919.13910065,0,5390919.13910065
"rate_fer_pla_immi_i1","rate_fer_pla_immi_i1",5387709.40930521,0,5387709.40930521
"rate_fer_pla_inno_i2","rate_fer_pla_inno_i2",5389285.28161496,0,5389285.28161496
"rate_fer_pla_immi_i2","rate_fer_pla_immi_i2",5392347.51238388,0,5392347.51238388
"rate_fer_pla_inno_i3","rate_fer_pla_inno_i3",5385892.40861196,0,5385892.40861196
"rate_fer_pla_immi_i3","rate_fer_pla_immi_i3",5390445.87061455,0,5390445.87061455
"rate_fer_pla_inno_i4","rate_fer_pla_inno_i4",5384396.94182681,0,5384396.94182681
"rate_fer_pla_immi_i4","rate_fer_pla_immi_i4",5389932.20689264,0,5389932.20689264
"reduced_times_spray_i1234","reduced_times_spray_i1234",5389670.95531103,0,5389670.95531103
"reduced_cost_per_time_spray_i1234","reduced_cost_per_time_spray_i1234",5390973.12260776,0,5390973.12260776
"total_buffalo_i1234","total_buffalo_i1234",5387119.27809562,0,5387119.27809562
"price_buffalo_i1234","price_buffalo_i1234",5388830.04063398,0,5388830.04063398
"chance_extreme_cold","chance_extreme_cold",5388636.53558503,0,5388636.53558503
"reduced_death_animal_i1","reduced_death_animal_i1",5388011.64550824,0,5388011.64550824
"reduced_death_animal_i2","reduced_death_animal_i2",5352381.22867396,0,5352381.22867396
"reduced_death_animal_i3","reduced_death_animal_i3",5374826.46467604,0,5374826.46467604
"reduced_death_animal_i4","reduced_death_animal_i4",5354561.75271726,0,5354561.75271726
"rate_ani_inno_i1","rate_ani_inno_i1",5391350.05907696,0,5391350.05907696
"rate_ani_immi_i1","rate_ani_immi_i1",5388533.90616066,0,5388533.90616066
"rate_ani_inno_i2","rate_ani_inno_i2",5390787.67948706,0,5390787.67948706
"rate_ani_immi_i2","rate_ani_immi_i2",5390900.33949795,0,5390900.33949795
"rate_ani_inno_i3","rate_ani_inno_i3",5390518.09150792,0,5390518.09150792
"rate_ani_immi_i3","rate_ani_immi_i3",5391922.72905696,0,5391922.72905696
"rate_ani_inno_i4","rate_ani_inno_i4",5388767.93671612,0,5388767.93671612
"rate_ani_immi_i4","rate_ani_immi_i4",5388103.73480435,0,5388103.73480435
"total_cow_i1234","total_cow_i1234",5386891.52281347,0,5386891.52281347
"price_cow_i1234","price_cow_i1234",5391456.94887829,0,5391456.94887829
"area_pond_impacted_i1234","area_pond_impacted_i1234",5388238.56878968,0,5388238.56878968
"lost_fish_i1234","lost_fish_i1234",5388589.0443941,0,5388589.0443941
"reduced_water_expenditure_i1234","reduced_water_expenditure_i1234",4656446.89059274,0,4656446.89059274
"percent_pollution_reduction_i1234","percent_pollution_reduction_i1234",4640566.84534326,0,4640566.84534326
"N_total_oversuse_per_ha_i1234","N_total_oversuse_per_ha_i1234",5391544.86323704,0,5391544.86323704
"new_income_farm_peryear_i12","new_income_farm_peryear_i12",5390591.03696947,0,5390591.03696947
"rate_farm","rate_farm",5387870.54400469,0,5387870.54400469
"new_income_nonfarm_peryear_i12","new_income_nonfarm_peryear_i12",5389685.17313595,0,5389685.17313595
"rate_nonfarm","rate_nonfarm",5391548.93803958,0,5391548.93803958
"gender_coverage","gender_coverage",5393116.74005047,0,5393116.74005047
"reduced_expenditure_health_i1234","reduced_expenditure_health_i1234",5233262.13821089,0,5233262.13821089
"number_staff_i1234","number_staff_i1234",5388098.52123967,0,5388098.52123967
"income_increased_staff_i1234","income_increased_staff_i1234",5388261.884112,0,5388261.884112
"year_staff_i1234","year_staff_i1234",NA,0,0
