"","variable","expected_gain","EVPI_do","EVPI_dont"
"messages_per_time_animal_i123","messages_per_time_animal_i123",2990602.21808953,0,2990602.21808953
"number_times_per_year_animal_i12","number_times_per_year_animal_i12",2991085.80349965,0,2991085.80349965
"percent_animal_households_i1234","percent_animal_households_i1234",2990556.30822993,0,2990556.30822993
"commune_village_SMS_i3","commune_village_SMS_i3",NA,0,0
"n_village","n_village",NA,0,0
"allowance_village_leader_permonth_loud_i34","allowance_village_leader_permonth_loud_i34",2987714.41321889,0,2987714.41321889
"months_per_year","months_per_year",NA,0,0
"allowance_bulletin_collect_time_short_i4","allowance_bulletin_collect_time_short_i4",NA,0,0
"times_per_month","times_per_month",NA,0,0
"percent_short_distance_i4","percent_short_distance_i4",2992247.48626237,0,2992247.48626237
"allowance_bulletin_collect_time_long_i4","allowance_bulletin_collect_time_long_i4",NA,0,0
"percent_long_distance_i4","percent_long_distance_i4",2995499.60664876,0,2995499.60664876
"no_model_compare_i1234","no_model_compare_i1234",NA,0,0
"model_training_i1234","model_training_i1234",2989307.8241888,0,2989307.8241888
"n_training","n_training",NA,0,0
"percent_fertilizer_model_supporti1234","percent_fertilizer_model_supporti1234",NA,0,0
"plant_protection_support_i1234","plant_protection_support_i1234",NA,0,0
"model_monitor_i1234","model_monitor_i1234",2990437.61023358,0,2990437.61023358
"field_visit_i1234","field_visit_i1234",2992405.24377349,0,2992405.24377349
"SAA_TOT","SAA_TOT",2988762.12321146,0,2988762.12321146
"dialogue_village","dialogue_village",2991747.63395114,0,2991747.63395114
"n_dialogues","n_dialogues",NA,0,0
"cost_community_event","cost_community_event",2991642.58434926,0,2991642.58434926
"ME_district_i1234","ME_district_i1234",2992256.95921911,0,2992256.95921911
"ME_commune_i1234","ME_commune_i1234",2990851.5398559,0,2990851.5398559
"total_rice_area_i1234","total_rice_area_i1234",NA,0,0
"rice_area_drought_i1234","rice_area_drought_i1234",2987153.78419262,0,2987153.78419262
"chance_drought_i1234","chance_drought_i1234",2981202.9388701,0,2981202.9388701
"yield_change_i1234","yield_change_i1234",2994591.83903716,0,2994591.83903716
"rice_price","rice_price",2992007.375603,0,2992007.375603
"reduce_loss_drought_i1234","reduce_loss_drought_i1234",2988348.69021785,0,2988348.69021785
"seed_farmers_i1234","seed_farmers_i1234",2992704.95565756,0,2992704.95565756
"seed_guideline_i1234","seed_guideline_i1234",2992418.92173995,0,2992418.92173995
"price_seed_i1234","price_seed_i1234",2989377.92229746,0,2989377.92229746
"labor_pick_i1234","labor_pick_i1234",2991436.63233083,0,2991436.63233083
"chance_rain_cold_i1234","chance_rain_cold_i1234",2990226.10239391,0,2990226.10239391
"percent_reduce_reseed_times_i1234","percent_reduce_reseed_times_i1234",2994272.06000954,0,2994272.06000954
"reduce_reseed_costsperha_i1234","reduce_reseed_costsperha_i1234",NA,0,0
"reseed_area_percentage_i1234","reseed_area_percentage_i1234",2991213.62681501,0,2991213.62681501
"rate_seed_inno_i1","rate_seed_inno_i1",2990453.40559858,0,2990453.40559858
"rate_seed_imitation_i1","rate_seed_imitation_i1",2993044.44534163,0,2993044.44534163
"rate_seed_inno_i2","rate_seed_inno_i2",2989840.0826336,0,2989840.0826336
"rate_seed_imitation_i2","rate_seed_imitation_i2",2992796.85079841,0,2992796.85079841
"rate_seed_inno_i3","rate_seed_inno_i3",2989028.61837624,0,2989028.61837624
"rate_seed_imitation_i3","rate_seed_imitation_i3",2990713.87789409,0,2990713.87789409
"rate_seed_inno_i4","rate_seed_inno_i4",2989811.75602574,0,2989811.75602574
"rate_seed_imitation_i4","rate_seed_imitation_i4",2990719.40268188,0,2990719.40268188
"rate_saturated_i12","rate_saturated_i12",2994104.15554575,0,2994104.15554575
"rate_saturated_i34","rate_saturated_i34",2991822.29308968,0,2991822.29308968
"dis_adoption_i123","dis_adoption_i123",2913582.07341177,0,2913582.07341177
"dis_adoption_i4","dis_adoption_i4",2957557.80129015,0,2957557.80129015
"effective_rate","effective_rate",2991656.57119993,0,2991656.57119993
"NPK5105f_dose_i1234","NPK5105f_dose_i1234",NA,0,0
"NPK5105a_dose_i1234","NPK5105a_dose_i1234",NA,0,0
"NPK5105_price_i1234","NPK5105_price_i1234",2991788.62998986,0,2991788.62998986
"NPK12510f_dose_i1234","NPK12510f_dose_i1234",NA,0,0
"NPK12510a_dose_i1234","NPK12510a_dose_i1234",NA,0,0
"NPK12510_price_i1234","NPK12510_price_i1234",2992669.60105663,0,2992669.60105663
"Nf_dose_i1234","Nf_dose_i1234",2991724.47701352,0,2991724.47701352
"Na_dose_i1234","Na_dose_i1234",2991003.6696306,0,2991003.6696306
"N_price_i1234","N_price_i1234",2991072.18517736,0,2991072.18517736
"Kf_dose_i1234","Kf_dose_i1234",2992433.65272652,0,2992433.65272652
"Ka_dose_i1234","Ka_dose_i1234",2992047.41954038,0,2992047.41954038
"K_price_i1234","K_price_i1234",2990709.27322592,0,2990709.27322592
"chance_refertilize_reduced_i1234","chance_refertilize_reduced_i1234",2988623.5765028,0,2988623.5765028
"refertilize_area_percentage_i1234","refertilize_area_percentage_i1234",2991781.47343004,0,2991781.47343004
"costs_reduced_no_re_fertilizer_i1234","costs_reduced_no_re_fertilizer_i1234",2988513.93810965,0,2988513.93810965
"rate_fer_pla_inno_i1","rate_fer_pla_inno_i1",2992699.29125076,0,2992699.29125076
"rate_fer_pla_immi_i1","rate_fer_pla_immi_i1",2991445.73283665,0,2991445.73283665
"rate_fer_pla_inno_i2","rate_fer_pla_inno_i2",2999489.98192249,0,2999489.98192249
"rate_fer_pla_immi_i2","rate_fer_pla_immi_i2",2995281.20776587,0,2995281.20776587
"rate_fer_pla_inno_i3","rate_fer_pla_inno_i3",2988341.30127227,0,2988341.30127227
"rate_fer_pla_immi_i3","rate_fer_pla_immi_i3",2988018.03164918,0,2988018.03164918
"rate_fer_pla_inno_i4","rate_fer_pla_inno_i4",2989048.4646821,0,2989048.4646821
"rate_fer_pla_immi_i4","rate_fer_pla_immi_i4",2991705.39210706,0,2991705.39210706
"reduced_times_spray_i1234","reduced_times_spray_i1234",2991672.53963973,0,2991672.53963973
"reduced_cost_per_time_spray_i1234","reduced_cost_per_time_spray_i1234",2988400.99653397,0,2988400.99653397
"total_buffalo_i1234","total_buffalo_i1234",2992820.2607881,0,2992820.2607881
"price_buffalo_i1234","price_buffalo_i1234",2988444.08925015,0,2988444.08925015
"chance_extreme_cold","chance_extreme_cold",2988652.7858858,0,2988652.7858858
"reduced_death_animal_i1","reduced_death_animal_i1",2991512.87194542,0,2991512.87194542
"reduced_death_animal_i2","reduced_death_animal_i2",2966244.9604895,0,2966244.9604895
"reduced_death_animal_i3","reduced_death_animal_i3",2984709.28384528,0,2984709.28384528
"reduced_death_animal_i4","reduced_death_animal_i4",2972244.31416725,0,2972244.31416725
"rate_ani_inno_i1","rate_ani_inno_i1",2992359.25081836,0,2992359.25081836
"rate_ani_immi_i1","rate_ani_immi_i1",2992524.53760823,0,2992524.53760823
"rate_ani_inno_i2","rate_ani_inno_i2",2988187.68292575,0,2988187.68292575
"rate_ani_immi_i2","rate_ani_immi_i2",2990951.56913918,0,2990951.56913918
"rate_ani_inno_i3","rate_ani_inno_i3",2988402.50531475,0,2988402.50531475
"rate_ani_immi_i3","rate_ani_immi_i3",2986956.3641521,0,2986956.3641521
"rate_ani_inno_i4","rate_ani_inno_i4",2988381.71652829,0,2988381.71652829
"rate_ani_immi_i4","rate_ani_immi_i4",2991585.93348559,0,2991585.93348559
"total_cow_i1234","total_cow_i1234",2989669.45323253,0,2989669.45323253
"price_cow_i1234","price_cow_i1234",2990782.52485046,0,2990782.52485046
"area_pond_impacted_i1234","area_pond_impacted_i1234",2990614.69459329,0,2990614.69459329
"lost_fish_i1234","lost_fish_i1234",2988996.7389761,0,2988996.7389761
"reduced_water_expenditure_i1234","reduced_water_expenditure_i1234",2583719.92242649,0,2583719.92242649
"percent_pollution_reduction_i1234","percent_pollution_reduction_i1234",2575236.0638487,0,2575236.0638487
"N_total_oversuse_per_ha_i1234","N_total_oversuse_per_ha_i1234",2990821.58872167,0,2990821.58872167
"new_income_farm_peryear_i12","new_income_farm_peryear_i12",2991176.96403281,0,2991176.96403281
"rate_farm","rate_farm",2990398.77941966,0,2990398.77941966
"new_income_nonfarm_peryear_i12","new_income_nonfarm_peryear_i12",2990498.78419859,0,2990498.78419859
"rate_nonfarm","rate_nonfarm",2992126.13665849,0,2992126.13665849
"gender_coverage","gender_coverage",2993576.40989077,0,2993576.40989077
"reduced_expenditure_health_i1234","reduced_expenditure_health_i1234",2903898.01599229,0,2903898.01599229
"number_staff_i1234","number_staff_i1234",2989791.59211476,0,2989791.59211476
"income_increased_staff_i1234","income_increased_staff_i1234",2992227.95099516,0,2992227.95099516
"year_staff_i1234","year_staff_i1234",NA,0,0
